Date,Exc50,Pav50,Exc90,Pav90,Exc10,Pav10,Avg,Basin
2024-01-08,760.084,61.379,525.508,42.436,1585.229,128.011,1238.349,SJF
2024-01-08,768.259,62.783,458.375,37.459,1405.238,114.837,1223.681,KGF
2024-01-08,175.379,62.118,105.545,37.383,337.296,119.467,282.333,KWT
2024-01-08,39.857,66.146,10.941,18.157,109.821,182.257,60.256,SCC
2024-01-08,292.996,64.44,190.885,41.982,511.229,112.436,454.684,KRI
2024-01-08,211.76,83.746,123.79,48.956,438.84,173.55,252.861,TRF
2024-01-08,45.611,84.473,30.677,56.814,79.713,147.631,53.995,WFC
2024-01-08,135.997,72.425,79.695,42.442,253.761,135.14,187.776,EFC
2024-01-08,115.656,72.19,73.304,45.755,183.244,114.377,160.211,WWR
2024-01-08,40.457,64.897,16.718,26.818,104.274,167.266,62.34,EWR
2024-01-15,407.734,64.925,252.214,40.161,738.397,117.579,628.003,TNL
2024-01-15,164.165,55.571,100.807,34.124,377.053,127.636,295.413,SDT
2024-01-15,391.307,103.593,308.367,81.636,667.615,176.742,377.734,MSS
2024-01-15,795.182,80.557,651.465,65.997,1322.01,133.928,987.109,PSH
2024-01-15,1099.662,63.729,821.945,47.634,1825.958,105.819,1725.54,SIS
2024-01-15,1998.231,83.308,1288.532,53.72,3736.634,155.783,2398.615,SBB
2024-01-15,1373.663,82.479,851.444,51.123,3161.44,189.822,1665.475,FTO
2024-01-15,659.751,67.788,377.687,38.807,1555.831,159.859,973.251,YRS
2024-01-15,838.361,68.562,394.685,32.278,2101.947,171.899,1222.78,AMF
2024-01-15,73.482,57.252,19.561,15.241,244.892,190.804,128.347,CSN
2024-01-15,314.802,67.658,171.05,36.763,607.232,130.508,465.282,MKM
2024-01-15,417.863,60.376,208.804,30.17,866.841,125.247,692.103,SNS
2024-01-15,635.196,52.222,389.36,32.011,1233.813,101.436,1216.343,TLG
2024-01-15,313.805,49.863,181.094,28.775,699.039,111.075,629.337,MRC
2024-01-15,652.525,52.693,416.772,33.655,1341.251,108.31,1238.349,SJF
2024-01-15,639.956,52.298,381.033,31.138,1310.892,107.127,1223.681,KGF
2024-01-15,143.732,50.909,83.709,29.649,294.22,104.21,282.333,KWT
2024-01-15,25.473,42.275,9.305,15.443,77.332,128.339,60.256,SCC
2024-01-15,241.049,53.015,156.734,34.471,425.884,93.666,454.684,KRI
2024-01-15,178.921,70.759,82.768,32.733,387.457,153.229,252.861,TRF
2024-01-15,35.963,66.604,25.174,46.623,68.001,125.94,53.995,WFC
2024-01-15,119.275,63.52,72.362,38.536,236.027,125.696,187.776,EFC
2024-01-15,103.287,64.47,67.105,41.886,173.304,108.173,160.211,WWR
2024-01-15,30.571,49.039,13.56,21.751,89.595,143.718,62.34,EWR
2024-01-22,443.651,70.645,294.457,46.888,739.502,117.755,628.003,TNL
2024-01-22,179.819,60.87,113.358,38.373,395.414,133.851,295.413,SDT
2024-01-22,396.968,105.092,310.662,82.243,657.986,174.193,377.734,MSS
